Duration,ID,Consent,Gender,Age,Residency,Ethnicity,Sexuality,Vic_known,False_acc,Verdict,Likert_verdict,Confidence,Sentence,Credibility,Responsibility,Empathy,SA1,SA2,SA3,SA4,SA5,SA6,MT1,MT2,MT3,F1,MT4,MT5,MT6,NR1,NR2,NR3,NR4,NR5,F2,LI1,LI2,LI3,LI4,LI5,LI6,Condition
730,5f589273fa1e3100097f07f6,1,2,58,58,1,1,1,1,0,5,41,0,5,4,4,1,4,1,2,1,2,1,1,1,6,2,1,4,1,2,1,1,1,7,4,4,4,2,4,1,Vignette(high)
732,6051f58faf37e1ff8c01445d,1,2,22,22,1,1,1,1,1,6,70,3,6,1,4,1,1,1,1,1,1,2,2,1,5,1,1,1,1,1,1,1,1,7,2,4,3,2,2,1,Vignette(low)
677,5e722d54811ec3046b5defbd ,1,1,44,44,1,1,1,2,0,1,100,0,1,7,1,1,1,1,6,1,1,4,4,1,7,2,1,1,1,1,1,1,1,3,5,7,6,6,7,2,Vignette(high)
780,5c56550e54f9d30001db7f50,1,1,34,34,4,1,1,1,1,5,20,1,4,4,2,4,5,2,3,4,4,4,4,5,4,4,3,3,4,4,4,4,4,4,3,5,4,4,3,3,Vignette(low)
819,60478ad2ab0ec8000a619c66,1,2,30,4,14,1,1,1,0,2,91,1,2,4,2,2,1,1,4,1,1,3,4,7,4,1,1,1,1,1,1,1,1,7,4,4,4,1,4,2,Vignette(high)
424,5c5b493e2b05d300019489b2,1,2,24,24,5,1,2,1,0,3,31,0,4,4,2,1,1,1,1,1,6,1,1,1,7,1,1,1,3,1,1,1,4,7,1,1,1,1,1,1,Vignette(high)
1075,5c5c9c513df12100018059ea,1,2,61,61,1,1,1,1,1,7,92,2,7,2,4,2,1,1,1,1,1,4,1,4,7,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(high)
850,5f035c7ce9d86254e87992e4,1,2,57,57,1,1,1,1,1,5,60,2,6,2,3,1,1,1,1,1,7,5,3,2,7,1,1,1,1,1,1,1,2,7,1,2,2,1,1,1,Vignette(high)
887,5e1480ec7dd477aa21c9b40a,1,2,58,58,1,1,1,1,1,7,91,5,7,2,4,3,1,2,1,2,2,2,3,2,6,3,2,3,2,1,1,1,2,6,3,2,2,2,5,2,Vignette(low)
571,5e1858ff2bf95113513e63c6,1,2,22,22,1,1,1,1,1,6,91,2,6,3,4,1,1,1,2,1,5,5,5,2,7,3,3,2,1,1,1,1,1,7,2,2,2,2,2,1,Vignette(low)
658,5d1a1d97a51463000183f7af,1,1,26,26,1,1,3,2,1,5,50,2,6,2,4,2,1,1,1,1,3,4,4,3,5,3,1,1,1,1,1,1,1,7,2,2,1,1,3,1,Vignette(low)
588,56e87c23eefcff000596f0c1,1,2,53,53,1,1,2,1,0,3,31,0,5,6,2,5,3,1,5,3,5,1,3,3,7,2,1,2,2,1,2,1,3,6,5,5,5,5,5,2,Vignette(low)
746,5ea59ffb9325e15853a82d84,1,2,44,44,1,1,1,1,0,5,51,3,5,4,4,1,1,1,1,1,1,4,2,2,7,5,1,2,1,1,1,1,4,7,2,2,1,1,1,1,Vignette(low)
546,6043652749cb5f30c11b6043,1,2,27,27,13,1,2,1,1,6,90,10,6,2,4,1,1,1,1,1,3,1,3,1,7,1,1,1,1,1,1,1,1,7,1,1,1,1,3,1,Vignette(high)
737,6054891c5e9188709b2ce50f,1,2,39,39,1,1,0,1,1,6,95,10,7,1,4,1,1,1,1,1,1,2,4,1,7,2,1,1,1,1,1,1,1,7,1,1,1,1,1,1,Vignette(high)
